fecha,local,visitante,goles_local,goles_visita,torneo,ciudad,pais_x,neutral,difgol,gana_local,gana_visita,ranking_local,abrev_local,ranking_visitante,abrev_visitante,dif_ranking
1998-02-09,Jamaica,El Salvador,2,0,Gold Cup,Los Angeles,United States,TRUE,2,1,0,48,JAM,69,ESA,-21
2000-08-16,Jamaica,El Salvador,1,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,1,1,0,48,JAM,69,ESA,-21
2003-11-16,Jamaica,El Salvador,3,0,Friendly,Kingston,Jamaica,FALSE,3,1,0,48,JAM,69,ESA,-21
2004-10-13,Jamaica,El Salvador,0,0,FIFA World Cup qualification,Kingston,Jamaica,FALSE,0,0,0,48,JAM,69,ESA,-21
2007-11-18,Jamaica,El Salvador,3,0,Friendly,Kingston,Jamaica,FALSE,3,1,0,48,JAM,69,ESA,-21
2015-07-14,Jamaica,El Salvador,1,0,Gold Cup,Toronto,Canada,TRUE,1,1,0,48,JAM,69,ESA,-21
2017-07-16,Jamaica,El Salvador,1,1,Gold Cup,San Antonio,United States,TRUE,0,0,0,48,JAM,69,ESA,-21
1993-03-23,El Salvador,Estados Unidos,2,2,Friendly,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",22,EUA,47
1997-06-29,El Salvador,Estados Unidos,1,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",22,EUA,47
2004-10-09,El Salvador,Estados Unidos,0,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-2,0,1,69,"ESA
",22,EUA,47
2009-03-28,El Salvador,Estados Unidos,2,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,0,0,0,69,"ESA
",22,EUA,47
1993-12-05,Estados Unidos,El Salvador,7,0,Friendly,Mission Viejo,United States,FALSE,7,1,0,22,EUA,69,ESA,-47
1996-01-16,Estados Unidos,El Salvador,2,0,Gold Cup,Anaheim,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
1996-08-30,Estados Unidos,El Salvador,3,1,Friendly,Los Angeles,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
1997-11-16,Estados Unidos,El Salvador,4,2,FIFA World Cup qualification,Foxborough,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
2002-01-27,Estados Unidos,El Salvador,4,0,Gold Cup,Pasadena,United States,FALSE,4,1,0,22,EUA,69,ESA,-47
2002-11-17,Estados Unidos,El Salvador,2,0,Friendly,Washington,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
2003-07-12,Estados Unidos,El Salvador,2,0,Gold Cup,Foxborough,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
2004-09-04,Estados Unidos,El Salvador,2,0,FIFA World Cup qualification,Foxborough,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
2007-06-12,Estados Unidos,El Salvador,4,0,Gold Cup,Foxborough,United States,FALSE,4,1,0,22,EUA,69,ESA,-47
2009-09-05,Estados Unidos,El Salvador,2,1,FIFA World Cup qualification,Sandy City,United States,FALSE,1,1,0,22,EUA,69,ESA,-47
2010-02-24,Estados Unidos,El Salvador,2,1,Friendly,Tampa,United States,FALSE,1,1,0,22,EUA,69,ESA,-47
2013-07-21,Estados Unidos,El Salvador,5,1,Gold Cup,Baltimore,United States,FALSE,4,1,0,22,EUA,69,ESA,-47
2017-07-19,Estados Unidos,El Salvador,2,0,Gold Cup,Philadelphia,United States,FALSE,2,1,0,22,EUA,69,ESA,-47
1996-11-20,El Salvador,Mexico,1,3,Friendly,Los Angeles,United States,TRUE,-2,0,1,69,"ESA
",11,MEX,58
1997-06-08,El Salvador,Mexico,0,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-1,0,1,69,"ESA
",11,MEX,58
1998-11-17,El Salvador,Mexico,0,2,Friendly,Los Angeles,United States,TRUE,-2,0,1,69,"ESA
",11,MEX,58
2000-07-01,El Salvador,Mexico,0,3,Friendly,San Francisco,United States,TRUE,-3,0,1,69,"ESA
",11,MEX,58
2002-01-19,El Salvador,Mexico,0,1,Gold Cup,Pasadena,United States,TRUE,-1,0,1,69,"ESA
",11,MEX,58
2003-07-06,El Salvador,Mexico,2,1,Friendly,Carson,United States,TRUE,1,1,0,69,"ESA
",11,MEX,58
2009-06-06,El Salvador,Mexico,2,1,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,1,1,0,69,"ESA
",11,MEX,58
2012-06-12,El Salvador,Mexico,1,2,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-1,0,1,69,"ESA
",11,MEX,58
2016-09-02,El Salvador,Mexico,1,3,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,-2,0,1,69,"ESA
",11,MEX,58
1997-10-05,Mexico,El Salvador,5,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,5,1,0,11,"MEX
",69,ESA,-58
2001-10-31,Mexico,El Salvador,4,1,Friendly,Puebla,Mexico,FALSE,3,1,0,11,"MEX
",69,ESA,-58
2009-10-10,Mexico,El Salvador,4,1,FIFA World Cup qualification,Mexico City,Mexico,FALSE,3,1,0,11,"MEX
",69,ESA,-58
2011-06-05,Mexico,El Salvador,5,0,Gold Cup,Arlington,United States,TRUE,5,1,0,11,"MEX
",69,ESA,-58
2012-10-16,Mexico,El Salvador,2,0,FIFA World Cup qualification,Torreón,Mexico,FALSE,2,1,0,11,"MEX
",69,ESA,-58
2015-11-13,Mexico,El Salvador,3,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,3,1,0,11,"MEX
",69,ESA,-58
2017-07-09,Mexico,El Salvador,3,1,Gold Cup,San Diego,United States,TRUE,2,1,0,11,"MEX
",69,ESA,-58
